correct_spkr_list,correct_spkr_mean,correct_spkr_sem,correct_word_list,correct_word_mean,correct_word_sem,index_texture,snr,tag_expt,tag_model
"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,"[0.4444444444444444, 0.25, 0.2222222222222222, 0.5, 0.2222222222222222, 0.375, 0.4444444444444444, 0.6, 0.5, 0.4, 0.3333333333333333, 0.6, 0.2222222222222222, 0.5555555555555556, 0.2222222222222222, 0.4285714285714285, 0.2222222222222222, 0.6666666666666666, 0.6666666666666666, 0.5555555555555556, 0.2222222222222222, 0.5555555555555556, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 0.4444444444444444, 0.2222222222222222, 0.3333333333333333, 0.4444444444444444, 0.375, 0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.3333333333333333, 0.5555555555555556, 0.3333333333333333, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.4]",0.38015873015873014,0.023234487798829636,0.0,-3.0,speech_in_synthetic_textures,human
"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,"[0.5555555555555556, 0.4444444444444444, 0.6666666666666666, 0.2222222222222222, 0.1111111111111111, 0.0, 0.375, 0.3333333333333333, 0.3333333333333333, 0.125, 0.4444444444444444, 0.3333333333333333, 0.1428571428571428, 0.5, 0.125, 0.4444444444444444, 0.1111111111111111, 0.25, 0.6666666666666666, 0.3333333333333333, 0.2222222222222222, 0.8, 0.25, 0.3333333333333333, 0.1111111111111111, 0.1428571428571428, 0.25, 0.25, 0.3333333333333333, 0.4444444444444444, 0.5, 0.4444444444444444, 0.25, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.2222222222222222, 0.125, 0.4]",0.31492063492063493,0.0282410235903097,1.0,-3.0,speech_in_synthetic_textures,human
"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,"[1.0, 0.625, 0.875, 0.7777777777777778, 0.5555555555555556, 0.875, 0.8888888888888888, 0.8333333333333334, 0.4444444444444444, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 0.5555555555555556, 0.4, 0.5, 0.7777777777777778, 1.0, 1.0, 0.625, 0.875, 0.8888888888888888, 0.7777777777777778, 0.875, 0.8888888888888888, 0.875, 0.6666666666666666, 0.8888888888888888, 0.875, 1.0, 0.8888888888888888, 0.6666666666666666, 0.875, 0.75, 0.7777777777777778, 0.8888888888888888, 0.625, 0.5555555555555556, 0.6666666666666666, 1.0]",0.7844729344729345,0.025978164405389054,2.0,-3.0,speech_in_synthetic_textures,human
"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,"[0.625, 1.0, 0.8888888888888888, 0.5, 0.8888888888888888, 0.6666666666666666, 0.625, 0.6666666666666666, 0.5, 0.6666666666666666, 0.7777777777777778, 0.6, 0.75, 0.7777777777777778, 0.5555555555555556, 0.8333333333333334, 0.3333333333333333, 0.75, 0.8888888888888888, 0.4444444444444444, 0.5555555555555556, 0.75, 0.7777777777777778, 1.0, 0.7142857142857143, 0.8, 0.3333333333333333, 0.75, 0.7777777777777778, 0.875, 0.7777777777777778, 0.6666666666666666, 1.0, 0.8888888888888888, 0.4444444444444444, 0.8888888888888888, 0.8888888888888888, 0.7777777777777778, 0.4444444444444444, 0.625, 0.4444444444444444]",0.7053619821912505,0.02783849043057536,3.0,-3.0,speech_in_synthetic_textures,human
"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,"[0.4444444444444444, 0.4285714285714285, 0.6666666666666666, 0.6666666666666666, 0.2222222222222222, 0.4444444444444444, 0.2222222222222222, 0.2222222222222222, 0.2, 0.3333333333333333, 0.6, 0.3333333333333333, 0.5555555555555556, 0.1111111111111111, 0.5, 0.2222222222222222, 0.4444444444444444, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 0.4444444444444444, 0.8571428571428571, 1.0, 0.375, 0.3333333333333333, 0.2222222222222222, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444, 0.5555555555555556, 0.2222222222222222, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.1111111111111111, 0.3333333333333333, 0.25, 0.6666666666666666]",0.4247123015873016,0.030109793465061173,4.0,-3.0,speech_in_synthetic_textures,human
"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,"[0.5555555555555556, 0.4444444444444444, 0.375, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.7777777777777778, 0.4444444444444444, 0.2, 0.5555555555555556, 0.8, 0.3333333333333333, 0.25, 0.7777777777777778, 0.625, 0.875, 0.5555555555555556, 0.6666666666666666, 0.5555555555555556, 0.2222222222222222, 0.6666666666666666, 0.625, 0.6666666666666666, 0.4, 0.2, 0.6666666666666666, 0.5555555555555556, 0.625, 0.3333333333333333, 0.5, 0.6666666666666666, 0.625, 0.7777777777777778, 0.375, 0.1111111111111111, 0.3333333333333333, 0.375, 0.7777777777777778, 0.6666666666666666, 0.3333333333333333, 0.5, 0.4285714285714285]",0.5132464096749811,0.02887667943793769,5.0,-3.0,speech_in_synthetic_textures,human
"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,"[0.2222222222222222, 0.2857142857142857, 0.5, 0.5555555555555556, 0.1111111111111111, 0.3333333333333333, 0.5, 0.5555555555555556, 0.1666666666666666, 0.375, 0.4, 0.4444444444444444, 0.4444444444444444, 0.375, 0.1666666666666666, 0.4444444444444444, 0.6666666666666666, 0.3333333333333333, 0.4444444444444444, 0.5555555555555556, 0.2222222222222222, 0.2222222222222222, 0.625, 0.6, 0.5, 0.2222222222222222, 0.5555555555555556, 0.375, 0.2, 0.5555555555555556, 0.625, 0.375, 0.4444444444444444, 0.6666666666666666, 0.5555555555555556, 0.2222222222222222, 0.2222222222222222, 0.4, 0.1111111111111111, 0.3333333333333333, 0.4444444444444444, 0.1111111111111111, 0.4]",0.3923034330011074,0.024519135167610867,6.0,-3.0,speech_in_synthetic_textures,human
"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,"[0.1111111111111111, 0.4444444444444444, 0.7777777777777778, 0.2222222222222222, 0.625, 0.3333333333333333, 0.3333333333333333, 0.25, 0.1666666666666666, 0.125, 0.5, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.25, 0.7777777777777778, 0.4444444444444444, 0.4444444444444444, 0.6666666666666666, 0.625, 0.3333333333333333, 0.3333333333333333, 0.5555555555555556, 0.4444444444444444, 0.6666666666666666, 0.875, 0.375, 0.5555555555555556, 0.2222222222222222, 0.5, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333, 0.4444444444444444, 0.6666666666666666, 0.1666666666666666]",0.4250730994152047,0.03149752249514843,7.0,-3.0,speech_in_synthetic_textures,human
"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,"[0.7777777777777778, 0.5555555555555556, 0.7777777777777778, 0.625, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.875, 0.6, 0.5, 0.8571428571428571, 0.375, 0.875, 0.8571428571428571, 0.8333333333333334, 0.7777777777777778, 0.4444444444444444, 0.75, 0.5, 0.6666666666666666, 0.6666666666666666, 0.625, 0.8888888888888888, 0.8, 1.0, 1.0, 0.8888888888888888, 1.0, 0.5555555555555556, 1.0, 0.5555555555555556, 0.875, 0.8888888888888888, 0.5555555555555556, 0.7777777777777778, 0.4444444444444444, 0.4444444444444444, 0.625, 0.6666666666666666, 0.5555555555555556]",0.7059821428571429,0.02796819865926645,8.0,-3.0,speech_in_synthetic_textures,human
"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,"[0.3333333333333333, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.5555555555555556, 0.6666666666666666, 0.6666666666666666, 0.4444444444444444, 0.6666666666666666, 0.2222222222222222, 0.3333333333333333, 0.625, 0.5555555555555556, 0.8888888888888888, 0.6666666666666666, 0.3333333333333333, 0.5, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.625, 0.0, 0.3333333333333333, 0.5555555555555556, 0.5, 0.4444444444444444, 0.6666666666666666, 0.4444444444444444, 0.5555555555555556, 0.75, 0.5555555555555556, 0.6666666666666666, 0.8888888888888888, 0.4444444444444444, 0.6666666666666666, 0.5555555555555556, 0.4444444444444444, 0.4]",0.539766081871345,0.027724206533902652,9.0,-3.0,speech_in_synthetic_textures,human
